epoch,step,val_loss
0,3,0.6917112469673157
1,7,0.6918964385986328
2,11,0.6930448412895203
3,15,0.6945009827613831
4,19,0.695834755897522
5,23,0.6966414451599121
6,27,0.6964392066001892
7,31,0.6962028741836548
8,35,0.6968280076980591
9,39,0.6976321935653687
